Entertainer,Gender (traditional),Birth Year,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Year of First Oscar/Grammy/Emmy,Year of Last Major Work (arguable),Year of Death,images,Award Won from Breakthrough,Total Awards won,Total Nominees,Profession,Oscar Won,Grammy Won,Emmy Won,Other Awards 
Mick Jagger,M,1943,1965,(I Can't Get No) Satisfaction,1987,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/7/7a/RStonesHydePark030722_%2849_of_125%29_%2852193656268%29_%28cropped%29.jpg,No Award,10,15,Singer,0,0,0,10
Morgan Freeman,M,1937,1989,Driving Miss Daisy and Glory,2005,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/4/42/Morgan_Freeman_at_The_Pentagon_on_2_August_2023_-_230802-D-PM193-3363_%28cropped%29.jpg,Other,65,147,Actor,1,0,0,64
Oprah Winfrey,F,1954,1985,The Color Purple,1987,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/f/f6/Pre_Inaugural_Reception_%2852639556983%29_%28cropped%29.jpg,No Award,53,145,Actor,0,0,18,35
Paul McCartney,M,1942,1963,I Want to Hold Your Hand,1965,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/2/22/Paul_McCartney_2021_%28cropped%29.jpg,Other,31,118,Singer,1,14,0,16
Paul Newman,M,1925,1958,Cat on a Hot Tin Roof,1986,2005,2008,https://upload.wikimedia.org/wikipedia/commons/6/67/Paul_Newman_-_1958.jpg,No Award,38,108,Actor,1,0,1,36
Peter O'Toole,M,1932,1962,Lawrence of Arabia,2002,2013,2013,https://upload.wikimedia.org/wikipedia/commons/1/19/David_di_Donatello_1970_Loren_O%27Toole_%28cropped%29.jpg,Other,28,76,Actor,0,0,1,27
Prince,M,1958,1979,Prince,1984,2016,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Prince_1981.jpg/330px-Prince_1981.jpg,Other,26,100,Singer,1,7,0,18
Robert Redford,M,1936,1969,Butch Cassidy and the Sundance Kid,1980,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/2/2d/Robert_Redford_%28cropped%29.jpg,Other,43,98,Actor,1,0,0,42
Sidney Poitier,M,1927,1955,Blackboard Jungle,1964,2008,Not Dead,https://upload.wikimedia.org/wikipedia/commons/2/29/Sidney_Poitier_1968.jpg,No Award,28,69,Actor,1,1,0,26
Sly Stone,M,1943,1968,Everyday People,2017,1971,Not Dead,https://upload.wikimedia.org/wikipedia/commons/f/f4/Sly_and_the_Family_Stone_%28cropped%29.jpg,No Award,1,1,Singer,0,1,0,0
Stevie Wonder,M,1950,1963,Fingertips,1973,2005,Not Dead,https://upload.wikimedia.org/wikipedia/commons/8/8f/Stevie_Wonder_1994.jpg,No Award,37,99,Singer,1,24,0,12
Tom Hanks,M,1956,1984,Splash,1993,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/a/a9/Tom_Hanks_TIFF_2019.jpg,No Award,91,290,Actor,2,0,7,82
Tony Bennett,M,1926,1951,Because of You,1963,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/2/29/Tony_Bennett_%2812462253053%29_%281%29.jpg,No Award,24,55,Singer,0,20,2,2
Wayne Newton,M,1942,1972,"Daddy, Don't You Walk So Fast",No Awards Won,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/3/3b/Wayne_Newton_in_Washington_D.C.jpg,No Award,1,4,Actor,0,0,0,1
Will Smith,M,1968,1990,The Fresh Prince of Bel-Air,1988,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/3/3f/TechCrunch_Disrupt_2019_%2848834434641%29_%28cropped%29.jpg,No Award,70,231,Actor,0,4,0,66
Willie Nelson,M,1933,1975,Red Headed Stranger,1976,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/0/03/Willie_UK2K7_2.JPG,No Award,24,50,Singer,0,15,0,9
